2022/8/16 下午 01:12:17,Home,Index,N/A, Guest
2022/8/16 下午 01:12:25,HomeManager,Login,N/A, Guest
2022/8/16 下午 01:20:06,Home,Index,N/A, Guest
2022/8/16 下午 01:20:28,HomeManager,Login,N/A, Guest
2022/8/16 下午 01:20:41,HomeManager,Login,N/A, Guest
2022/8/16 下午 01:20:44,HomeManager,Login,N/A, Guest
2022/8/16 下午 01:21:16,Home,Index,N/A, Guest
2022/8/16 下午 01:22:23,Home,Index,N/A, Guest
2022/8/16 下午 01:22:27,HomeManager,Login,N/A, Guest
2022/8/16 下午 01:22:46,HomeManager,Login,N/A, Guest
2022/8/16 下午 01:22:50,HomeManager,Index,N/A, 1
2022/8/16 下午 01:29:47,HomeManager,Logout,N/A, 1
2022/8/16 下午 01:29:47,Home,Index,N/A, Guest
2022/8/16 下午 01:29:49,HomeManager,Login,N/A, Guest
2022/8/16 下午 01:29:58,HomeManager,Login,N/A, Guest
2022/8/16 下午 01:30:17,HomeManager,Login,N/A, Guest
2022/8/16 下午 01:30:28,HomeManager,Login,N/A, Guest
2022/8/16 下午 01:30:28,HomeManager,Index,N/A, 1
2022/8/16 下午 01:30:29,Members,Index,N/A, 1
2022/8/16 下午 01:30:37,Members,Index,N/A, 1
2022/8/16 下午 01:31:06,Members,Create,N/A, 1
2022/8/16 下午 01:31:28,Members,Create,N/A, 1
2022/8/16 下午 01:31:28,Members,Index,N/A, 1
2022/8/16 下午 01:31:30,Members,Create,N/A, 1
2022/8/16 下午 01:31:45,Members,Create,N/A, 1
2022/8/16 下午 01:31:45,Members,Index,N/A, 1
2022/8/16 下午 01:31:48,Members,Create,N/A, 1
2022/8/16 下午 01:32:00,Members,Create,N/A, 1
2022/8/16 下午 01:32:00,Members,Index,N/A, 1
2022/8/16 下午 01:32:02,Members,Create,N/A, 1
2022/8/16 下午 01:32:23,Members,Create,N/A, 1
2022/8/16 下午 01:32:23,Members,Index,N/A, 1
2022/8/16 下午 01:32:25,Members,Index,N/A, 1
2022/8/16 下午 01:32:26,Members,Index,N/A, 1
2022/8/16 下午 01:34:04,Members,Create,N/A, 1
2022/8/16 下午 01:35:17,Members,Edit,9, 1
2022/8/16 下午 01:35:50,Members,Details,11, 1
2022/8/16 下午 01:35:59,Members,Index,N/A, 1
2022/8/16 下午 01:36:01,Members,Index,N/A, 1
2022/8/16 下午 01:36:02,Members,Edit,27, 1
2022/8/16 下午 01:36:06,Members,Details,27, 1
2022/8/16 下午 01:36:35,Members,Index,N/A, 1
